ID,Time,Group,Day,Inputs,Success
386968,2/8/2021 @ 21:51,1,1,"food1,food1,food1",1
386968,2/8/2021 @ 21:51,1,1,"food1,food3,food1",0
386968,2/8/2021 @ 21:52,1,1,"food1,food1,food1",1
386968,2/8/2021 @ 21:52,1,1,"food3,food3",0
386968,2/8/2021 @ 21:52,1,1,,0
386968,2/8/2021 @ 21:52,1,1,"food1,food1,food1",1
386968,2/8/2021 @ 21:52,1,1,"food3,food3,food3",0
386968,2/8/2021 @ 21:52,1,1,"food3,food1",1
386968,2/8/2021 @ 21:52,1,1,"food3,food1",1
386968,2/8/2021 @ 21:52,1,1,"food3,food1",1
386968,2/8/2021 @ 21:54,1,2,"food1,food1,food1",1
386968,2/8/2021 @ 21:54,1,2,"food1,food1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon3,weapon1",0
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon3,weapon1",0
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:56,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon1",0
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon1,weapon1",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
386968,2/8/2021 @ 21:57,1,3,"weapon2,weapon2",1
417735,3/8/2021 @ 15:20,2,1,,0
312992,3/8/2021 @ 9:27,2,1,,0
312992,3/8/2021 @ 9:27,2,1,,0
312992,3/8/2021 @ 9:28,2,1,"food1,food1",1
312992,3/8/2021 @ 9:28,2,1,"food1,food1",1
312992,3/8/2021 @ 9:28,2,1,"food1,food1,food1",1
312992,3/8/2021 @ 9:28,2,1,"food1,food1,food1",1
312992,3/8/2021 @ 9:28,2,1,"food1,food1",1
312992,3/8/2021 @ 9:28,2,1,"food2,food2",1
312992,3/8/2021 @ 9:28,2,1,"food2,food3",0
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food2,food2",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food1,food1,food1",1
312992,3/8/2021 @ 9:31,2,2,"food2,food2",1
312992,3/8/2021 @ 9:32,2,2,food4,0
312992,3/8/2021 @ 9:32,2,2,"food2,food2",1
312992,3/8/2021 @ 9:33,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:33,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:33,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon2,weapon2",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1,weapon1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:34,2,1,"food1,food1,food1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:34,2,1,"food1,food1,food1",1
312992,3/8/2021 @ 9:34,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:34,2,1,,0
270885,3/8/2021 @ 21:34,2,1,"food1,food1,food1",1
270885,3/8/2021 @ 21:37,2,2,"food1,food1,food1",1
270885,3/8/2021 @ 21:37,2,2,"food1,food1,food1",1
270885,3/8/2021 @ 21:38,2,3,"food3,food3,food3",0
270885,3/8/2021 @ 21:39,2,3,"food3,food3,food3",0
270885,3/8/2021 @ 21:39,2,3,"food3,weapon1,weapon1",0
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:39,2,3,,0
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
270885,3/8/2021 @ 21:39,2,3,"weapon1,weapon1,weapon1",1
